ID	cl0	cl1	cl2	cl3	cl4	cl5	cl6	cl7	cl8	cl9	cl10	cl11	cl12	cl13	cl14	cl15	cl16	cl17	cl18	cl19	cl20	cl21	cl22	cl23	cl24	cl25	cl26	cl27	cl28	cl29	cl30	cl31	cl32	cl33	cl34	cl35	cl36	cl37	cl38	cl39	cl40	cl41	cl42	cl43	cl44	cl45	cl46	cl47	cl48	cl49	cl50	cl51	cl52	cl53	cl54	cl55	cl56	cl57	cl58	cl59	cl60	cl61	cl62	cl63	cl64	cl65	cl66	cl67	cl68	cl69	cl70	cl71	cl72	cl73	cl74	cl75	cl76	cl77	cl78	cl79	cl80	cl81	cl82	cl83	cl84	cl85	cl86	cl87	cl88	cl89	cl90	cl91	cl92	cl93	cl94	cl95	cl96	cl97	cl98	cl99	cl100	cl101	cl102	cl103	cl104	cl105	cl106	cl107	cl108	cl109	cl110	cl111	cl112	cl113	cl114	cl115	cl116	cl117	cl118	cl119	cl120	cl121	cl122	cl123	cl124	cl125	cl126	cl127	cl128	cl129	cl130	cl131	cl132	cl133	cl134	cl135	cl136	cl137	cl138	cl139	cl140	cl141	cl142	cl143	cl144	cl145	cl146	cl147	cl148	cl149	out:family	out:subfamily	out:tribus	out:genus	out:species
ZMA.INS.1275565_1	0.005498822	0.000785546	0.007069914	0.010212097	0.001571092	0.005498822	0.00785546	0.000785546	0.003142184	0.001571092	0.00392773	0.006284368	0.000785546	0.004713276	0.010997643	0.014925373	0.010212097	0.004713276	0.00392773	0.002356638	0.006284368	0.005498822	0.000785546	0	0.021209741	0.00392773	0.00392773	0.00392773	0.021209741	0.001571092	0.002356638	0.009426551	0.020424195	0.014925373	0.018853103	0.004713276	0.007069914	0.003142184	0.000785546	0.006284368	0.006284368	0.003142184	0.008641005	0.004713276	0.000785546	0.004713276	0.006284368	0.010997643	0.012568735	0.006284368	0.015710919	0.00392773	0.00392773	0.001571092	0.006284368	0.006284368	0.00392773	0.010212097	0.00785546	0.003142184	0.010997643	0.018853103	0	0.003142184	0.000785546	0.010212097	0.004713276	0.00392773	0.015710919	0.000785546	0.014139827	0.004713276	0.011783189	0.005498822	0.006284368	0.005498822	0.002356638	0.019638649	0	0.005498822	0.009426551	0	0.006284368	0.008641005	0.000785546	0.011783189	0.021209741	0.007069914	0.021209741	0.011783189	0	0.011783189	0.00785546	0.008641005	0.000785546	0.000785546	0.000785546	0.004713276	0.00392773	0.001571092	0.007069914	0.002356638	0.000785546	0.002356638	0.004713276	0.010997643	0	0.00785546	0.000785546	0.002356638	0.012568735	0.007069914	0.006284368	0.001571092	0.003142184	0.012568735	0.012568735	0.003142184	0.000785546	0.00392773	0.003142184	0.003142184	0.008641005	0.006284368	0.005498822	0.007069914	0.002356638	0.007069914	0.005498822	0.00785546	0.013354281	0.015710919	0.002356638	0.008641005	0.001571092	0.003142184	0.013354281	0.001571092	0.00392773	0.009426551	0.006284368	0.009426551	0.009426551	0.000785546	0.015710919	0.013354281	0.003142184	0.016496465	0.013354281	0.005498822	0	0	0	1	14
ZMA.INS.1275555_1	0.004035513	0.001614205	0.00968523	0.011299435	0.00322841	0.004842615	0.010492333	0.002421308	0.008071025	0.001614205	0.008071025	0.00645682	0.000807103	0.001614205	0.011299435	0.01937046	0.00645682	0.002421308	0.004035513	0.001614205	0.012106538	0.00322841	0.004035513	0.002421308	0.02259887	0.010492333	0.000807103	0.001614205	0.01937046	0.004842615	0.001614205	0.008878128	0.017756255	0.010492333	0.013720743	0.002421308	0.008071025	0.008878128	0	0.002421308	0.005649718	0.002421308	0.012106538	0.002421308	0.000807103	0.005649718	0.00322841	0.021791768	0.011299435	0.01291364	0.015334948	0.004035513	0.00322841	0.004035513	0.002421308	0.00645682	0.001614205	0.012106538	0.005649718	0.000807103	0.007263923	0.013720743	0.008071025	0.000807103	0.000807103	0.007263923	0.005649718	0.005649718	0.011299435	0	0.011299435	0.004035513	0.018563358	0.001614205	0.00322841	0.001614205	0.004035513	0.016949153	0.004842615	0.00645682	0.007263923	0.00322841	0.000807103	0.00645682	0.000807103	0.015334948	0.017756255	0.013720743	0.008878128	0.011299435	0	0.011299435	0.01291364	0.015334948	0.001614205	0.000807103	0.001614205	0.005649718	0	0.00322841	0.008878128	0.001614205	0.002421308	0.00322841	0.00322841	0.004842615	0.001614205	0.00645682	0.004842615	0.001614205	0.005649718	0.008071025	0.008071025	0.000807103	0.002421308	0.008878128	0.020177563	0.001614205	0.000807103	0	0.005649718	0.00645682	0.004842615	0.016949153	0.001614205	0.004035513	0	0.002421308	0.011299435	0.007263923	0.012106538	0.027441485	0.000807103	0.007263923	0.002421308	0.00322841	0.008878128	0	0.00322841	0.012106538	0.00645682	0.008071025	0.010492333	0.000807103	0.00968523	0.01291364	0.000807103	0.015334948	0.010492333	0.011299435	0	0	0	1	14
ZMA.INS.1275561_1	0.007251632	0.000725163	0.010152284	0.020304569	0.001450326	0.006526468	0.006526468	0.002175489	0.014503263	0.000725163	0.010152284	0.009427121	0.000725163	0.002175489	0.0137781	0.020304569	0.005076142	0.006526468	0.001450326	0.002900653	0.011602611	0.003625816	0.005076142	0.000725163	0.025380711	0.008701958	0.002175489	0.003625816	0.022480058	0.005801305	0.000725163	0.001450326	0.010152284	0.021029732	0.018129079	0.001450326	0.008701958	0.002900653	0	0.005076142	0.002175489	0.000725163	0.007976795	0.006526468	0	0.002175489	0.003625816	0.019579405	0.006526468	0.011602611	0.0137781	0.014503263	0.002900653	0.005801305	0.005801305	0.008701958	0.004350979	0.0137781	0.006526468	0.002900653	0.010152284	0.012327774	0.007976795	0.000725163	0.000725163	0.013052937	0.007976795	0.008701958	0.005801305	0.002175489	0.008701958	0.002900653	0.010877447	0.002900653	0.006526468	0.001450326	0.003625816	0.013052937	0	0.005076142	0.012327774	0.002900653	0.002175489	0.002175489	0.001450326	0.013052937	0.0137781	0.009427121	0.013052937	0.011602611	0.000725163	0.017403916	0.017403916	0.010152284	0.000725163	0.000725163	0.002900653	0.007976795	0.000725163	0.002900653	0.005801305	0.002900653	0.001450326	0.005076142	0.005801305	0.015228426	0.001450326	0.007976795	0.002900653	0.002900653	0.005076142	0.007976795	0.006526468	0.001450326	0.002900653	0.009427121	0.008701958	0	0.001450326	0.002175489	0.005076142	0	0.004350979	0.008701958	0.005801305	0.003625816	0.000725163	0.004350979	0.010152284	0.008701958	0.012327774	0.014503263	0.001450326	0.007251632	0.000725163	0.001450326	0.010152284	0.003625816	0.001450326	0.004350979	0.007976795	0.003625816	0.007251632	0.003625816	0.011602611	0.0137781	0.000725163	0.018129079	0.006526468	0.010877447	0	0	0	9	4
ZMA.INS.1275556_1	0.006498781	0	0.009748172	0.008935825	0.001624695	0.004061738	0.004874086	0.000812348	0.005686434	0.002437043	0.004061738	0.005686434	0.001624695	0.001624695	0.012185215	0.017059301	0.016246954	0.004061738	0.004874086	0.001624695	0.009748172	0.003249391	0.004874086	0.000812348	0.013809911	0.006498781	0.004874086	0.005686434	0.014622258	0.003249391	0.002437043	0.015434606	0.012997563	0.023558083	0.014622258	0.001624695	0.01056052	0.004061738	0.001624695	0.012997563	0.005686434	0.000812348	0.003249391	0.001624695	0.001624695	0.004061738	0.004874086	0.008935825	0.009748172	0.011372868	0.013809911	0.007311129	0.005686434	0.004061738	0.006498781	0.004061738	0.006498781	0.012185215	0.012185215	0.007311129	0.01056052	0.01056052	0.006498781	0	0.002437043	0.008935825	0.004061738	0.01056052	0.014622258	0.002437043	0.008935825	0.004874086	0.01056052	0.004061738	0.009748172	0.003249391	0.004061738	0.025182778	0.013809911	0.004874086	0.008935825	0.000812348	0.000812348	0.005686434	0	0.004874086	0.012997563	0.002437043	0.004874086	0.002437043	0.001624695	0.021933387	0.017059301	0.01056052	0.004874086	0.001624695	0.004874086	0.008123477	0.000812348	0.003249391	0.006498781	0.000812348	0.002437043	0.002437043	0.006498781	0.012997563	0.002437043	0.005686434	0.001624695	0.002437043	0.011372868	0.004874086	0.006498781	0.001624695	0.002437043	0.004874086	0.018683997	0.001624695	0.001624695	0.001624695	0.005686434	0	0.002437043	0.006498781	0.003249391	0.007311129	0.003249391	0.006498781	0.006498781	0.004061738	0.011372868	0.015434606	0.003249391	0.012185215	0.000812348	0.002437043	0.009748172	0.001624695	0.000812348	0.004874086	0.007311129	0.007311129	0.008123477	0.002437043	0.012997563	0.022745735	0.000812348	0.022745735	0.008935825	0.008123477	1	1	2	8	23
ZMA.INS.1275563_1	0.00428449	0.000856898	0.00428449	0.015424165	0.005998286	0.003427592	0.007712082	0.000856898	0.011139674	0.000856898	0.002570694	0.005998286	0	0	0.01285347	0.021422451	0.006855184	0.005998286	0.000856898	0	0.01285347	0.005141388	0.01285347	0.000856898	0.021422451	0.007712082	0.000856898	0.009425878	0.021422451	0.003427592	0.005141388	0.007712082	0.010282776	0.021422451	0.010282776	0.001713796	0.005998286	0.003427592	0.003427592	0.005998286	0.002570694	0.001713796	0.011139674	0.00428449	0	0.002570694	0.002570694	0.020565553	0.01285347	0.005141388	0.011139674	0.009425878	0.003427592	0.003427592	0.002570694	0.002570694	0.002570694	0.01285347	0.00856898	0.002570694	0.007712082	0.016281063	0.005998286	0.002570694	0.000856898	0.011139674	0.001713796	0.001713796	0.013710368	0	0.011139674	0.003427592	0.017137961	0.005141388	0.005141388	0.003427592	0.002570694	0.011996572	0.002570694	0.006855184	0.005141388	0.002570694	0.001713796	0.002570694	0.000856898	0.046272494	0.006855184	0.00428449	0.005998286	0.005998286	0.000856898	0.020565553	0.013710368	0.00856898	0.000856898	0.002570694	0.002570694	0.006855184	0.001713796	0.002570694	0.00428449	0.002570694	0	0.001713796	0.003427592	0.00856898	0.002570694	0.006855184	0.000856898	0.001713796	0.005998286	0.005998286	0.011139674	0.002570694	0.005998286	0.010282776	0.014567266	0.001713796	0.002570694	0.001713796	0.005998286	0.002570694	0.001713796	0.010282776	0.005141388	0.00428449	0.000856898	0.003427592	0.005141388	0.006855184	0.01285347	0.032562125	0.003427592	0.005998286	0	0	0.01285347	0	0.002570694	0.005141388	0.006855184	0.009425878	0.011996572	0	0.017994859	0.01285347	0	0.022279349	0.007712082	0.014567266	1	1	2	8	23
ZMA.INS.1275558_1	0.007125891	0	0.014251781	0.008709422	0.003958828	0.003167063	0.004750594	0	0.009501188	0.002375297	0.003958828	0.008709422	0.000791766	0.000791766	0.015043547	0.013460016	0.006334125	0.003167063	0.003958828	0.001583531	0.008709422	0.001583531	0.004750594	0.000791766	0.017418844	0.003958828	0.003167063	0.004750594	0.014251781	0.003167063	0.003958828	0.005542359	0.010292953	0.011084719	0.01266825	0.000791766	0.005542359	0.007917656	0	0.01266825	0.006334125	0.000791766	0.006334125	0.003958828	0	0.003167063	0.001583531	0.007125891	0.011084719	0.011876485	0.016627078	0.004750594	0.003958828	0.003958828	0.003958828	0.009501188	0.000791766	0.011876485	0.004750594	0.000791766	0.011876485	0.011084719	0.007917656	0.002375297	0.000791766	0.007125891	0.005542359	0.010292953	0.021377672	0.000791766	0.017418844	0.000791766	0.01821061	0.007917656	0.006334125	0.003167063	0.003167063	0.017418844	0.015043547	0.007125891	0.004750594	0	0.001583531	0.005542359	0.003167063	0.032462391	0.016627078	0.008709422	0.003958828	0.004750594	0.001583531	0.013460016	0.004750594	0.007917656	0.000791766	0.001583531	0.004750594	0.003167063	0.003167063	0.002375297	0.007917656	0.003167063	0.002375297	0.003958828	0.003958828	0.011084719	0.003167063	0.006334125	0.001583531	0.002375297	0.005542359	0.008709422	0.006334125	0.001583531	0.004750594	0.016627078	0.011084719	0.001583531	0.001583531	0.000791766	0.006334125	0.003167063	0.007917656	0.015043547	0.003167063	0.003167063	0	0.003167063	0.006334125	0.008709422	0.014251781	0.019794141	0.003167063	0.011084719	0.000791766	0.003167063	0.015043547	0.003167063	0.003958828	0.006334125	0.009501188	0.011876485	0.004750594	0.001583531	0.020585907	0.013460016	0.001583531	0.016627078	0.008709422	0.010292953	1	1	2	8	16
ZMA.INS.1275578_1	0.009411765	0.000784314	0.010196078	0.014117647	0.003137255	0.007058824	0.007058824	0	0.009411765	0	0.01254902	0.005490196	0	0.003137255	0.011764706	0.011764706	0.005490196	0.00627451	0.001568627	0.001568627	0.010980392	0.004705882	0.008627451	0.000784314	0.015686275	0.007058824	0	0.010980392	0.026666667	0.004705882	0.003137255	0.008627451	0.011764706	0.014117647	0.021960784	0.003137255	0.005490196	0.007058824	0.003137255	0.010196078	0.004705882	0.000784314	0.007843137	0.002352941	0.001568627	0.000784314	0.004705882	0.014901961	0.008627451	0.010980392	0.010196078	0.007058824	0.003137255	0.007058824	0.003137255	0.005490196	0.000784314	0.009411765	0.008627451	0.000784314	0.00627451	0.013333333	0.003921569	0.002352941	0.000784314	0.00627451	0.004705882	0.004705882	0.009411765	0.000784314	0.008627451	0.001568627	0.017254902	0.004705882	0.007843137	0.005490196	0.004705882	0.01254902	0.007843137	0.005490196	0.007843137	0.001568627	0.002352941	0.007843137	0.001568627	0.00627451	0.014901961	0.013333333	0.003921569	0.009411765	0	0.01254902	0.017254902	0.015686275	0	0	0.004705882	0.00627451	0.001568627	0.003921569	0.00627451	0.003921569	0.000784314	0.000784314	0.001568627	0.016470588	0.001568627	0.007843137	0.004705882	0.003137255	0.007843137	0.00627451	0.007058824	0	0.003137255	0.005490196	0.014901961	0.002352941	0.003137255	0.002352941	0.004705882	0.001568627	0.005490196	0.013333333	0.00627451	0.001568627	0.001568627	0.010196078	0.004705882	0.00627451	0.013333333	0.021960784	0.002352941	0.007843137	0.000784314	0.001568627	0.018823529	0.001568627	0.002352941	0.01254902	0.011764706	0.007058824	0.00627451	0.001568627	0.010196078	0.005490196	0.001568627	0.024313725	0.008627451	0.01254902	1	1	2	8	16
ZMA.INS.1275560_1	0.006741573	0.003745318	0.0082397	0.01423221	0.001498127	0.002996255	0.002996255	0.001498127	0.011985019	0	0.005243446	0.009737828	0.000749064	0.001498127	0.01423221	0.02247191	0.007490637	0.005992509	0.002247191	0.001498127	0.011235955	0.004494382	0.004494382	0	0.01423221	0.006741573	0.002247191	0.001498127	0.013483146	0.007490637	0.002247191	0.008988764	0.014981273	0.01423221	0.01423221	0.001498127	0.009737828	0.000749064	0.000749064	0.011235955	0.007490637	0.001498127	0.008988764	0.002996255	0	0.002247191	0.003745318	0.011235955	0.008988764	0.011985019	0.015730337	0.003745318	0.002247191	0.002247191	0.004494382	0.002996255	0.001498127	0.015730337	0.006741573	0.002247191	0.009737828	0.01423221	0.008988764	0.002247191	0	0.012734082	0.005243446	0.011985019	0.011235955	0.001498127	0.01423221	0.004494382	0.016479401	0.005243446	0.0082397	0.002996255	0.002247191	0.016479401	0.000749064	0.006741573	0.003745318	0	0	0.005243446	0.001498127	0.023970037	0.017977528	0.011985019	0.006741573	0.004494382	0.001498127	0.014981273	0.011235955	0.014981273	0.002247191	0.003745318	0.004494382	0.009737828	0.002247191	0.002996255	0.010486891	0.000749064	0.004494382	0.004494382	0.002996255	0.004494382	0.000749064	0.011985019	0.003745318	0	0.004494382	0.006741573	0.008988764	0	0.001498127	0.011235955	0.017228464	0.001498127	0	0.001498127	0.0082397	0.003745318	0.011985019	0.005243446	0.002247191	0.005243446	0.004494382	0.006741573	0.005243446	0.012734082	0.007490637	0.017977528	0.003745318	0.007490637	0.000749064	0.005243446	0.010486891	0.002247191	0.002996255	0.001498127	0.0082397	0.006741573	0.0082397	0.000749064	0.017228464	0.015730337	0.000749064	0.014981273	0.006741573	0.011235955	1	1	2	8	16
ZMA.INS.1275553_1	0.005212858	0.00086881	0.009556907	0.009556907	0.005212858	0.004344049	0.004344049	0.001737619	0.009556907	0.00086881	0.009556907	0.005212858	0.001737619	0.002606429	0.018245004	0.014769765	0.006081668	0.006081668	0.001737619	0	0.013900956	0.005212858	0.006950478	0	0.017376195	0.005212858	0.001737619	0.008688097	0.027801911	0.008688097	0.00086881	0.005212858	0.010425717	0.011294526	0.014769765	0	0.006950478	0.002606429	0.00086881	0.004344049	0.008688097	0.003475239	0.006950478	0.003475239	0.002606429	0.006950478	0.001737619	0.013032146	0.013032146	0.014769765	0.013032146	0.004344049	0.004344049	0.005212858	0.005212858	0.004344049	0.00086881	0.013032146	0.003475239	0	0.009556907	0.006081668	0.010425717	0.001737619	0.002606429	0.010425717	0.007819288	0.004344049	0.015638575	0.00086881	0.007819288	0.00086881	0.012163336	0.003475239	0.003475239	0.002606429	0.001737619	0.010425717	0.010425717	0.005212858	0.008688097	0	0.003475239	0.001737619	0	0.022589053	0.018245004	0.010425717	0.006081668	0.007819288	0.002606429	0.014769765	0.012163336	0.010425717	0.00086881	0.003475239	0.001737619	0.006950478	0.002606429	0.004344049	0.008688097	0.002606429	0	0.006950478	0.005212858	0.008688097	0	0.018245004	0.004344049	0.002606429	0.007819288	0.009556907	0.004344049	0	0.003475239	0.005212858	0.015638575	0.00086881	0.005212858	0.001737619	0.006081668	0.003475239	0.004344049	0.004344049	0.004344049	0.006081668	0.001737619	0.004344049	0.006081668	0.001737619	0.008688097	0.021720243	0.00086881	0.008688097	0.002606429	0.00086881	0.014769765	0.00086881	0.001737619	0.006950478	0.013900956	0.006081668	0.011294526	0	0.012163336	0.020851434	0.004344049	0.019982624	0.012163336	0.012163336	1	1	2	8	10
ZMA.INS.1275554_1	0.004045307	0.000809061	0.014563107	0.015372168	0.004854369	0.007281553	0.008090615	0.001618123	0.006472492	0.001618123	0.006472492	0.007281553	0	0.002427184	0.02184466	0.013754045	0.004045307	0.004045307	0.002427184	0.004045307	0.010517799	0.001618123	0.004045307	0.001618123	0.015372168	0.001618123	0.002427184	0.004854369	0.020226537	0.00566343	0.001618123	0.010517799	0.009708738	0.017799353	0.008090615	0.002427184	0.004854369	0.004854369	0	0.00566343	0.002427184	0.002427184	0.00566343	0.004045307	0.001618123	0.004045307	0.006472492	0.008899676	0.01618123	0.01618123	0.014563107	0.006472492	0.001618123	0.002427184	0.00566343	0.002427184	0.004045307	0.006472492	0.009708738	0.000809061	0.018608414	0.012135922	0.001618123	0.001618123	0.002427184	0.010517799	0.002427184	0.008090615	0.013754045	0	0.017799353	0.002427184	0.017799353	0.007281553	0.006472492	0.007281553	0.004854369	0.014563107	0.012944984	0.006472492	0.001618123	0.001618123	0.001618123	0.012944984	0.000809061	0.016990291	0.008090615	0.009708738	0.000809061	0.010517799	0	0.013754045	0.004045307	0.012135922	0.001618123	0	0.002427184	0.008899676	0.001618123	0.00566343	0.006472492	0.004854369	0.002427184	0.00566343	0.003236246	0.012135922	0.004045307	0.009708738	0.002427184	0.002427184	0.007281553	0.009708738	0.007281553	0.001618123	0.004045307	0.010517799	0.025080906	0.000809061	0.001618123	0.000809061	0.002427184	0.002427184	0.004854369	0.024271845	0.004045307	0.006472492	0	0.004854369	0.007281553	0.007281553	0.008090615	0.008899676	0.001618123	0.009708738	0.001618123	0.000809061	0.01618123	0.000809061	0	0.00566343	0.006472492	0.007281553	0.008899676	0.003236246	0.013754045	0.011326861	0.000809061	0.018608414	0.012135922	0.007281553	1	1	2	8	10
