ID	genus (exp.)	section (exp.)	species (exp.)	genus (class.)	section (class.)	species (class.)	Match
512	Papilio		demolion	Papilio		demolion, helenus	+
513	Papilio		demolion	Papilio		demolion	+
514	Papilio		demolion	Papilio		demolion	+
515	Papilio		demolion	Papilio		demolion	+
516	Papilio		demolion	Papilio		demolion	+
517	Papilio		demolion	Papilio		demolion	+
518	Papilio		demolion	Papilio		demolion	+
519	Papilio		demolion	Papilio		demolion	+
520	Papilio		demolion	Papilio		demolion	+
521	Papilio		demolion	Papilio		demolion	+
522	Papilio		demolion	Papilio		demolion	+
523	Papilio		demolion	Papilio		demolion, helenus	+
12	Troides						-
13	Troides			Troides			+
14	Troides			Graphium			-
15	Troides						-
16	Troides						-
17	Troides						-
18	Troides						-
19	Troides						-
20	Troides						-
21	Troides						-
22	Troides						-
601	Papilio		polytes	Papilio		polytes	+
602	Papilio		polytes			polytes	-
527	Papilio		demolion	Papilio		demolion	+
603	Papilio		polytes	Papilio		polytes	+
604	Papilio		polytes			polytes	-
605	Papilio		polytes	Papilio		polytes	+
48	Graphium		adonarensis	Graphium		adonarensis	+
49	Graphium		adonarensis	Graphium		adonarensis	+
50	Graphium		adonarensis	Graphium		adonarensis	+
51	Graphium		adonarensis	Graphium			-
52	Graphium		adonarensis	Graphium		adonarensis	+
53	Graphium		adonarensis	Graphium		adonarensis	+
54	Graphium		adonarensis	Graphium		adonarensis	+
55	Graphium		adonarensis	Graphium		adonarensis	+
56	Graphium		adonarensis	Graphium		adonarensis	+
57	Graphium		adonarensis	Graphium		adonarensis	+
58	Graphium		adonarensis	Graphium		adonarensis	+
59	Graphium		adonarensis			adonarensis	-
60	Graphium		adonarensis	Graphium		adonarensis	+
61	Graphium		adonarensis	Graphium		adonarensis	+
62	Graphium		adonarensis	Graphium			-
63	Graphium		adonarensis	Graphium		adonarensis	+
64	Graphium		adonarensis	Graphium		adonarensis	+
65	Graphium		adonarensis	Graphium		adonarensis	+
66	Graphium		adonarensis	Graphium		adonarensis	+
67	Graphium		adonarensis	Graphium		adonarensis	+
68	Graphium		adonarensis	Graphium		adonarensis	+
69	Graphium		adonarensis	Graphium		adonarensis	+
70	Graphium		adonarensis	Graphium		adonarensis	+
71	Graphium		adonarensis	Graphium		adonarensis	+
72	Graphium		adonarensis	Graphium		adonarensis	+
524	Papilio		demolion	Papilio		demolion	+
586	Papilio		polytes	Papilio		polytes	+
587	Papilio		polytes	Papilio		polytes	+
588	Papilio		polytes	Papilio		polytes	+
589	Papilio		polytes	Papilio		polytes	+
590	Papilio		polytes			polytes	-
525	Papilio		demolion	Papilio		demolion	+
592	Papilio		polytes	Papilio			-
593	Papilio		polytes	Papilio		polytes	+
