reg_number,family,subfamily,tribus,genus,subgenus,species,subspecies,sex ,identifier,id_date,remarks
1277421,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/08,
1277437,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/08,
1277446,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/08,
1277454,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/08,
1277460,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/08,
1277464,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/09,
1277467,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/09,
1277469,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/09,
1277474,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/09,
1277475,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/09,
1277481,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/09,
1277497,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/09,
1277501,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/10,
1277511,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/10,
1277515,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/10,
1277528,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/10,
1277539,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/10,
1277554,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/10,
1277571,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/10,
1277585,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/10,
1277600,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/10,
1277839,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277853,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277855,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277858,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277861,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277866,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277868,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277869,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277873,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277906,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277907,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277908,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277909,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277910,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277911,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277912,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277913,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277914,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277916,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277917,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277926,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277941,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277959,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277965,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277968,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277971,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277972,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277975,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277977,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277979,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277980,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277982,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277985,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277998,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1278001,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1278008,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1278009,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1278010,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277473,Nymphalidae,Danainae,Danaini,Danaus,,genutia,, ,"Moonen, J.J.M.",2016/05/09,
1278016,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1278017,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1278018,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1278019,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,F,"Moonen, J.J.M.",2016/05/23,
1278022,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277643,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/11,
1277653,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/11,
1277654,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/11,
1277670,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/11,
1277683,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/11,
1277688,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/11,
1277689,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/11,
1277691,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/11,
1277699,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,F,"Moonen, J.J.M.",2016/05/20,
1277704,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/20,
1277706,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/20,
1277710,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,F,"Moonen, J.J.M.",2016/05/20,
1277717,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/20,
1277720,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/20,
1277737,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/22,
1277754,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/22,
1277771,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277774,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277776,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277782,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277784,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277801,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277803,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
1277827,Papilionidae,Papilioninae,Leptocircini,Graphium,Graphium,adonarensis,lycianus,M,"Moonen, J.J.M.",2016/05/23,
