ID	genus (exp.)	section (exp.)	species (exp.)	genus (class.)	section (class.)	species (class.)	Match
4	Cypripedium	Flabellinervia	formosanum	Cypripedium	Arietinum	formosanum	-
1029	Paphiopedilum	Cochlopetalum	liemianum	Paphiopedilum			-
1030	Paphiopedilum	Cochlopetalum	liemianum	Paphiopedilum		liemianum	-
1031	Paphiopedilum	Cochlopetalum	liemianum	Paphiopedilum	Paphiopedilum, Cochlopetalum		-
1032	Paphiopedilum	Cochlopetalum	liemianum	Paphiopedilum			-
1033	Paphiopedilum	Cochlopetalum	liemianum	Paphiopedilum	Paphiopedilum, Cochlopetalum	victoria-regina, glaucophyllum	-
11	Cypripedium	Flabellinervia	japonicum	Cypripedium	Cypripedium	japonicum	-
1037	Selenipedium	Selenipedium	palmifolium		Selenipedium	palmifolium	-
527	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata		-
528	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata	wardii	+
17	Cypripedium	Bifolia	guttatum		Cypripedium	guttatum	-
530	Paphiopedilum	Barbata	wardii	Paphiopedilum		wardii	-
531	Paphiopedilum	Barbata	wardii	Paphiopedilum	Barbata		-
716	Paphiopedilum	Paphiopedilum	villosum	Paphiopedilum	Paphiopedilum		-
1113	Phragmipedium	Phragmipedium	ritchteri		Lorifolia	ritchteri	-
1050	Phragmipedium	Micropetalum	besseae	Paphiopedilum	Micropetalum	besseae	-
802	Paphiopedilum	Paphiopedilum	gratrixianum	Paphiopedilum	Paphiopedilum	villosum	-
1052	Phragmipedium	Micropetalum	besseae			besseae	-
30	Cypripedium	Cypripedium	calcicola				-
31	Cypripedium	Cypripedium	calcicola				-
1057	Phragmipedium	Micropetalum	fischeri	Phragmipedium	Micropetalum	schlimii	-
35	Cypripedium	Cypripedium	parviflorum	Cypripedium	Cypripedium	parviflorum	+
666	Paphiopedilum	Parvisepalum	emersonii	Paphiopedilum	Parvisepalum	emersonii	+
39	Cypripedium	Cypripedium	farreri	Paphiopedilum	Trigonopedia	tibeticum, farreri	-
605	Paphiopedilum	Parvisepalum	vietnamense	Paphiopedilum	Barbata	vietnamense	-
905	Paphiopedilum	Brachypetalum	niveum	Paphiopedilum	Brachypetalum	niveum	+
1073	Phragmipedium	Micropetalum	schlimii	Cypripedium, Mexipedium	Micropetalum	schlimii	-
562	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
563	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
564	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
565	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
566	Paphiopedilum	Parvisepalum	micranthum	Paphiopedilum	Parvisepalum	micranthum	+
55	Cypripedium	Cypripedium	tibeticum	Paphiopedilum	Macrantha, Cypripedium		-
56	Cypripedium	Cypripedium	tibeticum	Cypripedium	Trigonopedia	tibeticum	-
57	Cypripedium	Cypripedium	tibeticum	Cypripedium		shanxiense	-
58	Cypripedium	Cypripedium	tibeticum	Cypripedium	Cypripedium	tibeticum	+
59	Cypripedium	Cypripedium	tibeticum			calcicola	-
66	Cypripedium	Cypripedium	shanxiense	Paphiopedilum	Cypripedium	calcicola	-
67	Cypripedium	Cypripedium	shanxiense	Paphiopedilum	Cypripedium	parviflorum	-
1093	Phragmipedium	Lorifolia	longifolium	Paphiopedilum	Lorifolia	longifolium	-
1094	Phragmipedium	Lorifolia	longifolium	Phragmipedium	Lorifolia	pearcei	-
1103	Phragmipedium	Phragmipedium	warscewiczianum	Paphiopedilum	Lorifolia	ritchteri	-
592	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum	armeniacum	+
593	Paphiopedilum	Parvisepalum	armeniacum	Paphiopedilum	Parvisepalum, Barbata	armeniacum	+
